lat-lng,price,number of rooms
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.181479"" data-longitude=""-122.721062"" id=""map""></div>]",$599888,/ 22430ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.191573"" data-longitude=""-122.850577"" id=""map""></div>]",$258888,/ 2br - 835ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.191717"" data-longitude=""-122.856030"" id=""map""></div>]",$280000,/ 2br - 1100ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.431073"" data-longitude=""-122.853928"" id=""map""></div>]",$595000,/ 2br - 1206ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.183070"" data-longitude=""-122.838252"" id=""map""></div>]",$618888,/ 1468ft
[],$1149888,/ 5br - 3942ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.137460"" data-longitude=""-122.695623"" id=""map""></div>]",$1588888,/ 3br - 1960ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.038373"" data-longitude=""-122.763648"" id=""map""></div>]",$1988000,/ 5br - 1725ft
[],$238999,/ 1br - 598ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.258178"" data-longitude=""-123.153065"" id=""map""></div>]",$1250000,/ 2br -
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.137673"" data-longitude=""-122.838976"" id=""map""></div>]",$768000,/ 7br - 3595ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.096014"" data-longitude=""-122.646454"" id=""map""></div>]",$217500,/ 2br - 1175ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.164521"" data-longitude=""-121.955298"" id=""map""></div>]",$480000,/ 4451ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.191549"" data-longitude=""-122.752014"" id=""map""></div>]",$1390000,/ 6br - 3143ft
[],$156600,/ 1br - 620ft
[],$449000,N/A
[],$450000,/ 2br - 1300ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.218173"" data-longitude=""-123.156324"" id=""map""></div>]",$3300000,/ 4544ft
[],$279900,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.256158"" data-longitude=""-122.782959"" id=""map""></div>]",$239888,/ 1br - 676ft
[],$351999,/ 2br - 760ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.290649"" data-longitude=""-122.800933"" id=""map""></div>]",$1488000,/ 5br - 2768ft
[],$249000,/ 2br - 1332ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""53.972546"" data-longitude=""-129.899254"" id=""map""></div>]",$525000,/ 2br - 905ft
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.209153"" data-longitude=""-122.585541"" id=""map""></div>]",$429900,/ 3br - 1877ft
