lat-lng,price,number of rooms
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.289969"" data-longitude=""-123.127100"" id=""map""></div>]",$7500,/ 3br - 2200ft
[],$1635,/ 2br - 765ft
[],$1200,/ 2br -
[],$1650,/ 1br -
[],$800,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.216756"" data-longitude=""-122.604353"" id=""map""></div>]",$1050,/ 2br - 740ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.291711"" data-longitude=""-122.802505"" id=""map""></div>]",$1100,/ 2br - 1300ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.032224"" data-longitude=""-122.757104"" id=""map""></div>]",$2450,/ 4br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.302891"" data-longitude=""-122.778222"" id=""map""></div>]",$1100,/ 3br -
[],$750,/ 2br -
[],$750,/ 2br - 1200ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.132056"" data-longitude=""-122.808633"" id=""map""></div>]",$600,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.111074"" data-longitude=""-122.814531"" id=""map""></div>]",$750,/ 2br - 750ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.184661"" data-longitude=""-123.119623"" id=""map""></div>]",$695,/ 1br -
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.187775"" data-longitude=""-122.851299"" id=""map""></div>]",$850,/ 1br - 650ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.249676"" data-longitude=""-122.591811"" id=""map""></div>]",$1200,/ 2br - 850ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.289740"" data-longitude=""-122.842438"" id=""map""></div>]",$1000,/ 1br - 900ft
[],$2300,/ 5br - 2450ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.280516"" data-longitude=""-123.109531"" id=""map""></div>]",$2595,/ 793ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.218326"" data-longitude=""-123.005590"" id=""map""></div>]",$2999,/ 5br - 2000ft
[],$1400,/ 2br - 1200ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.160047"" data-longitude=""-122.809649"" id=""map""></div>]",$1100,/ 2br -
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.133430"" data-longitude=""-123.090134"" id=""map""></div>]",$2200,/ 2br - 950ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.254273"" data-longitude=""-123.118088"" id=""map""></div>]",$1800,/ 2br - 900ft
[],$2200,/ 1br -
[],$1000,/ 1br - 800ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.238926"" data-longitude=""-122.884685"" id=""map""></div>]",$800,/ 2br - 500ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.234778"" data-longitude=""-123.178110"" id=""map""></div>]",$2800,/ 2br - 1254ft
[],$1200,/ 2br - 1100ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.149321"" data-longitude=""-122.635102"" id=""map""></div>]",$1050,/ 2br - 1000ft
[],$600,/ 1br -
[],$950,/ 2br - 550ft
[],$800,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.270840"" data-longitude=""-123.154705"" id=""map""></div>]",$2500,/ 2br - 1000ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.187622"" data-longitude=""-122.730803"" id=""map""></div>]",$800,/ 1br -
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.187678"" data-longitude=""-122.730803"" id=""map""></div>]",$900,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.223035"" data-longitude=""-122.994218"" id=""map""></div>]",$1600,/ 1br - 545ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.198644"" data-longitude=""-122.841825"" id=""map""></div>]",$825,/ 1br - 450ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.288516"" data-longitude=""-123.127502"" id=""map""></div>]",$1700,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.264444"" data-longitude=""-123.008764"" id=""map""></div>]",$1700,/ 1br - 650ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.250171"" data-longitude=""-123.192939"" id=""map""></div>]",$4500,/ 4br - 2500ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.250150"" data-longitude=""-123.190961"" id=""map""></div>]",$2900,/ 3br -
[],$850,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.311486"" data-longitude=""-123.030637"" id=""map""></div>]",$1550,/ 1br - 569ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.247848"" data-longitude=""-123.140430"" id=""map""></div>]",$6500,/ 5br - 4000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.247897"" data-longitude=""-123.031152"" id=""map""></div>]",$1499,/ 2br - 800ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.269181"" data-longitude=""-122.772082"" id=""map""></div>]",$1200,/ 3br - 1200ft
[],$850,/ 3br - 1200ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.331442"" data-longitude=""-123.138051"" id=""map""></div>]",$4200,/ 4br - 2636ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.261922"" data-longitude=""-122.958030"" id=""map""></div>]",$2250,/ 3br - 1300ft
[],$3350,/ 3br - 1427ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.279593"" data-longitude=""-123.107590"" id=""map""></div>]",$1600,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.220638"" data-longitude=""-123.156416"" id=""map""></div>]",$5500,/ 6br - 5000ft
[],$850,/ 1br -
[],$900,/ 1br -
[],$4000,/ 5br - 2300ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.250523"" data-longitude=""-123.136353"" id=""map""></div>]",$4800,/ 5br - 4500ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.050780"" data-longitude=""-122.225003"" id=""map""></div>]",$1500,/ 2br - 1000ft
[],$1200,/ 1br - 900ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.278402"" data-longitude=""-123.064164"" id=""map""></div>]",$1200,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.249660"" data-longitude=""-123.119340"" id=""map""></div>]",$900,/ 1br - 800ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.276947"" data-longitude=""-123.124938"" id=""map""></div>]",$1875,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.281979"" data-longitude=""-123.124391"" id=""map""></div>]",$1300,/ 470ft
[],$1500,/ 470ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.215940"" data-longitude=""-122.945550"" id=""map""></div>]",$3000,/ 2br - 1300ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.214073"" data-longitude=""-123.053342"" id=""map""></div>]",$1960,/ 2br - 1075ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.215940"" data-longitude=""-122.945550"" id=""map""></div>]",$3000,/ 3br -
[],$1000,/ 2br - 750ft
[],$1960,/ 2br - 1075ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.289243"" data-longitude=""-123.126463"" id=""map""></div>]",$1975,/ 1br - 558ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.182675"" data-longitude=""-122.660287"" id=""map""></div>]",$1850,/ 3br -
