lat-lng,price,number of rooms
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.190024"" data-longitude=""-122.824025"" id=""map""></div>]",$164900,/ 2br - 740ft
[],$1088000,/ 4br - 2951ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.286921"" data-longitude=""-123.122360"" id=""map""></div>]",$1430000,/ 3br - 1268ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.286126"" data-longitude=""-122.977305"" id=""map""></div>]",$1298000,/ 4br - 24120ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.236816"" data-longitude=""-122.949679"" id=""map""></div>]",$1198000,/ 5br - 2400ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.238771"" data-longitude=""-122.956503"" id=""map""></div>]",$749000,/ 5br - 2550ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.212688"" data-longitude=""-122.898473"" id=""map""></div>]",$549000,/ 3br - 1240ft
[],$225000,/ 1br - 604ft
[],$699000,/ 4br - 1568ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.157335"" data-longitude=""-123.125771"" id=""map""></div>]",$298000,/ 2br - 1022ft
[],$389000,/ 2br - 805ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.228829"" data-longitude=""-122.997504"" id=""map""></div>]",$418800,/ 2br - 1025ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.212839"" data-longitude=""-122.988459"" id=""map""></div>]",$998000,/ 6br - 2279ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.292149"" data-longitude=""-122.789951"" id=""map""></div>]",$638000,/ 4br - 2034ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.245742"" data-longitude=""-123.109243"" id=""map""></div>]",$1028900,/ 3br - 1436ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.264393"" data-longitude=""-123.013496"" id=""map""></div>]",$339888,/ 1br - 623ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.240354"" data-longitude=""-122.958307"" id=""map""></div>]",$999000,/ 2br - 1600ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.203078"" data-longitude=""-123.134823"" id=""map""></div>]",$319000,/ 1br - 620ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.214002"" data-longitude=""-122.988517"" id=""map""></div>]",$309000,/ 1br - 624ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.276497"" data-longitude=""-123.133990"" id=""map""></div>]",$679000,/ 1br - 792ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.214847"" data-longitude=""-122.997326"" id=""map""></div>]",$1788888,/ 7br - 4728ft
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.189177"" data-longitude=""-123.105463"" id=""map""></div>]",$1138000,/ 4br - 2531ft
